                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.2752,                 3.2674,                      0,                 0.9881,                 1.6118,                0.81506,                      1,                0.96167,                 0.5401,                 0.4641,                    0.4,                0.29739,                0.14819,                 1.7441,                 3.6939,                      0,                 1.0304,                 2.0553,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.2469,                 3.1659,                      0,                0.96483,                 1.4932,                0.70311,                      1,                0.89786,                0.55952,                0.42053,                    0.6,                0.41752,                0.13816,                 1.5638,                  4.105,                      0,                0.95605,                 1.8572,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.2643,                 3.1024,                      0,                0.88519,                 1.5784,                      1,                0.99785,                  0.995,                0.48851,                0.58203,                    0.6,                0.38743,                0.10723,                 1.5268,                 3.9267,                      0,                0.84091,                 1.7618,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.2432,                 3.3134,                      0,                0.91873,                 1.5276,                      1,                0.98233,                  0.995,                0.71346,                0.79729,                0.78918,                0.71732,                0.25535,                 1.0862,                 3.2069,                      0,                0.80975,                 1.3736,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.2329,                 2.9788,                      0,                0.93555,                 1.5096,                      1,                0.99126,                  0.995,                0.72615,                0.79984,                0.79934,                0.75769,                0.25969,                 1.1038,                 3.2108,                      0,                0.81666,                 1.4094,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.2149,                 3.1121,                      0,                0.90841,                 1.4733,                0.96523,                      1,                  0.995,                0.64613,                0.74356,                0.58454,                0.50154,                0.20718,                 1.3016,                 3.3718,                      0,                0.94275,                 1.5244,               0.001604,               0.001604,               0.001604
                     43,                 1.2467,                  3.059,                      0,                0.92673,                 1.5039,                0.97964,                      1,                  0.995,                0.59333,                0.68126,                    0.6,                0.55867,                0.24527,                 1.3701,                 3.3709,                      0,                 0.9295,                 1.5552,              0.0015941,              0.0015941,              0.0015941
                     44,                  1.239,                 3.0484,                      0,                0.90608,                  1.482,                0.98595,                      1,                  0.995,                0.66594,                0.59054,                    0.6,                0.45118,                0.18217,                 1.2918,                 3.2185,                      0,                0.85502,                 1.5025,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.2443,                 3.2658,                      0,                0.93373,                  1.615,                0.98472,                      1,                  0.995,                0.64305,                0.58999,                    0.6,                0.45309,                0.17085,                 1.2908,                 3.2452,                      0,                0.79387,                  1.542,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.3846,                 2.8215,                      0,                  1.057,                 1.7496,                0.99116,                      1,                  0.995,                 0.6169,                 0.7922,                    0.8,                0.76735,                0.19312,                 1.3136,                  3.177,                      0,                0.72403,                 1.5911,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.2761,                 3.0527,                      0,                0.90482,                 1.4809,                0.99051,                      1,                  0.995,                0.69468,                0.99051,                      1,                  0.995,                0.18391,                 1.3312,                 3.0961,                      0,                0.63372,                 1.6033,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.1315,                 2.6625,                      0,                0.80618,                 1.4387,                0.98955,                      1,                  0.995,                0.59435,                0.79126,                    0.8,                  0.762,                0.19775,                 1.5414,                 3.4118,                      0,                0.72904,                 1.8238,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.2361,                 2.9218,                      0,                0.92607,                 1.4893,                0.98758,                      1,                  0.995,                0.58582,                0.98758,                      1,                  0.995,                0.18195,                 1.4123,                 3.4026,                      0,                0.81779,                 1.7171,              0.0015347,              0.0015347,              0.0015347
                     50,                  1.244,                 3.1848,                      0,                0.91364,                 1.4476,                0.98101,                      1,                  0.995,                0.65853,                0.98101,                      1,                  0.995,                0.18532,                 1.2213,                 3.1363,                      0,                0.75801,                 1.5083,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.1244,                 2.7471,                      0,                0.85466,                 1.4543,                0.98123,                      1,                  0.995,                0.65122,                0.98123,                      1,                  0.995,                0.30285,                 1.2892,                 2.8942,                      0,                0.84222,                 1.5049,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.1313,                 3.0018,                      0,                 0.8858,                 1.4549,                      1,                0.98843,                  0.995,                0.60533,                      1,                0.98843,                  0.995,                0.31321,                 1.5649,                 3.0025,                      0,                0.80534,                 1.8397,               0.001505,               0.001505,               0.001505
                     53,                 1.3089,                 2.9596,                      0,                0.91556,                 1.5968,                0.98003,                      1,                  0.995,                0.59453,                0.98003,                      1,                  0.995,                0.29689,                 1.4204,                 3.1318,                      0,                0.70967,                 1.7141,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.2641,                 2.9156,                      0,                 0.8393,                  1.455,                 0.9861,                      1,                  0.995,                0.64422,                0.78585,                    0.8,                0.67816,                0.17573,                 1.2648,                 3.4597,                      0,                0.71096,                 1.4905,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.1406,                 2.9497,                      0,                0.81353,                 1.3842,                0.98241,                      1,                  0.995,                0.67611,                0.78181,                    0.8,                0.67811,                 0.1209,                 1.1612,                 3.7271,                      0,                0.75254,                 1.4023,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.2726,                 2.9897,                      0,                0.84148,                 1.5251,                0.97599,                      1,                  0.995,                0.66017,                0.97599,                      1,                  0.995,                0.23809,                 1.2381,                 3.3096,                      0,                0.74483,                 1.4506,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.1524,                 2.8702,                      0,                0.82467,                  1.389,                0.98563,                      1,                  0.995,                0.62676,                0.98563,                      1,                  0.995,                0.22225,                 1.2979,                 3.0789,                      0,                0.78673,                  1.598,              0.0014555,              0.0014555,              0.0014555
                     58,                0.96086,                 2.5173,                      0,                0.75376,                 1.2877,                0.98223,                      1,                  0.995,                0.64283,                0.98223,                      1,                  0.995,                0.26623,                  1.227,                  2.918,                      0,                0.87923,                 1.5389,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.0665,                 2.6322,                      0,                0.77202,                 1.3084,                0.96503,                      1,                  0.995,                0.68996,                0.79926,                    0.8,                0.79916,                0.32576,                 1.1884,                 2.6812,                      0,                0.76337,                 1.5025,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.1718,                 2.8543,                      0,                0.87254,                 1.4157,                0.98324,                      1,                  0.995,                0.69159,                0.98324,                      1,                  0.995,                0.41589,                 1.3457,                 2.5867,                      0,                0.73465,                 1.5939,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.0862,                 2.8116,                      0,                0.81426,                 1.3236,                0.98773,                      1,                  0.995,                0.65001,                0.98773,                      1,                  0.995,                 0.4053,                 1.3402,                 2.4972,                      0,                0.71483,                 1.6209,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.0342,                  2.479,                      0,                0.81489,                 1.3518,                 0.9883,                      1,                  0.995,                0.59743,                 0.9883,                      1,                  0.995,                0.31962,                 1.4059,                 2.5616,                      0,                 0.6732,                 1.6945,               0.001406,               0.001406,               0.001406
                     63,                 1.0883,                 2.5083,                      0,                 0.7563,                 1.4531,                 0.9843,                      1,                  0.995,                0.54576,                0.78719,                    0.8,                0.69482,                0.22933,                 1.4893,                 2.7142,                      0,                0.75466,                 1.7685,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.1544,                 2.4509,                      0,                0.78166,                 1.3884,                0.98326,                      1,                  0.995,                0.50572,                0.78459,                    0.8,                  0.648,                0.20875,                  1.603,                 2.9164,                      0,                0.89105,                 1.8385,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.1539,                 2.8991,                      0,                 0.8737,                 1.5079,                0.98239,                      1,                  0.995,                0.57579,                0.98239,                      1,                  0.995,                0.32506,                 1.4563,                 2.7038,                      0,                0.68596,                 1.6757,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.1309,                 2.6173,                      0,                0.86566,                 1.4448,                0.97693,                      1,                  0.995,                0.65765,                0.97693,                      1,                  0.995,                0.33387,                   1.33,                 2.6791,                      0,                0.74849,                 1.5364,              0.0013664,              0.0013664,              0.0013664
                     67,                 1.1087,                 2.7885,                      0,                 0.8077,                 1.4361,                0.97953,                      1,                  0.995,                0.62532,                0.97953,                      1,                  0.995,                 0.2964,                 1.3698,                   2.75,                      0,                0.70231,                 1.5294,              0.0013565,              0.0013565,              0.0013565
                     68,                 1.1393,                 2.9211,                      0,                0.80828,                 1.4423,                0.98091,                      1,                  0.995,                0.66535,                0.98091,                      1,                  0.995,                0.16256,                 1.5002,                   3.13,                      0,                0.70949,                 1.7052,              0.0013466,              0.0013466,              0.0013466
                     69,                 1.1303,                 2.6353,                      0,                0.86864,                 1.4574,                0.98412,                      1,                  0.995,                0.63581,                0.98412,                      1,                  0.995,                0.19279,                 1.4958,                 3.0905,                      0,                0.67399,                  1.713,              0.0013367,              0.0013367,              0.0013367
                     70,                   1.01,                 2.6271,                      0,                0.79008,                 1.3565,                0.98873,                      1,                  0.995,                0.61409,                0.79059,                    0.8,                 0.7775,                0.25736,                 1.3995,                 3.0013,                      0,                0.68059,                  1.664,              0.0013268,              0.0013268,              0.0013268
                     71,                0.95313,                 2.7478,                      0,                0.74513,                 1.3148,                0.98841,                      1,                  0.995,                0.64684,                0.79054,                    0.8,                   0.73,                0.27487,                 1.3195,                 2.8656,                      0,                 0.6541,                  1.612,              0.0013169,              0.0013169,              0.0013169
                     72,                  1.048,                  2.616,                      0,                0.81863,                 1.4555,                0.98855,                      1,                  0.995,                0.61313,                0.78951,                    0.8,                0.68362,                0.27506,                 1.4195,                 2.9237,                      0,                0.72975,                 1.7189,               0.001307,               0.001307,               0.001307
                     73,                 1.0771,                 2.8908,                      0,                0.89852,                 1.4395,                0.98774,                      1,                  0.995,                 0.5949,                0.78869,                    0.8,                0.65426,                0.27182,                 1.4581,                 2.9529,                      0,                0.79964,                 1.7308,              0.0012971,              0.0012971,              0.0012971
                     74,                0.96161,                 2.4741,                      0,                0.72595,                 1.2994,                0.98523,                      1,                  0.995,                0.60743,                0.59096,                    0.6,                0.37978,                0.20901,                 1.4567,                 2.8403,                      0,                0.71994,                 1.6768,              0.0012872,              0.0012872,              0.0012872
                     75,                 0.9517,                 2.3708,                      0,                 0.7008,                 1.2821,                0.98917,                      1,                  0.995,                0.63451,                0.78999,                    0.8,                0.64677,                0.27038,                 1.4286,                  2.643,                      0,                0.69124,                 1.6311,              0.0012773,              0.0012773,              0.0012773
                     76,                0.94694,                 2.3693,                      0,                0.68693,                  1.304,                0.98815,                      1,                  0.995,                 0.6068,                0.98815,                      1,                  0.995,                0.34985,                 1.4216,                 2.6211,                      0,                0.61165,                 1.7603,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.0432,                 2.4888,                      0,                0.78162,                 1.3632,                0.98917,                      1,                  0.995,                0.56324,                0.98917,                      1,                  0.995,                0.34152,                 1.5027,                 2.6227,                      0,                0.58834,                 1.8991,              0.0012575,              0.0012575,              0.0012575
                     78,                 1.0361,                 2.4442,                      0,                0.72528,                 1.2682,                0.98921,                      1,                  0.995,                0.67188,                0.98921,                      1,                  0.995,                0.29796,                 1.4396,                 2.6578,                      0,                0.60695,                 1.8106,              0.0012476,              0.0012476,              0.0012476
                     79,                 1.0504,                 2.2575,                      0,                0.74528,                 1.4224,                0.98805,                      1,                  0.995,                0.68017,                0.79025,                    0.8,                0.76635,                0.29429,                 1.4078,                 2.7133,                      0,                0.63102,                 1.7477,              0.0012377,              0.0012377,              0.0012377
                     80,                 1.0926,                 2.5291,                      0,                0.73753,                 1.3513,                 0.9839,                      1,                  0.995,                0.59737,                 0.9839,                      1,                  0.995,                0.26146,                 1.4032,                 2.7416,                      0,                0.68643,                 1.7203,              0.0012278,              0.0012278,              0.0012278
                     81,                0.92626,                 2.1153,                      0,                0.65606,                 1.2855,                0.98151,                      1,                  0.995,                0.59259,                0.78521,                    0.8,                0.72813,                0.18333,                 1.4738,                 2.8052,                      0,                0.71052,                 1.8091,              0.0012179,              0.0012179,              0.0012179
                     82,                0.95967,                  2.342,                      0,                0.64764,                 1.2635,                0.97874,                      1,                  0.995,                0.56988,                0.97874,                      1,                  0.995,                0.20779,                 1.5456,                 2.9233,                      0,                0.75527,                 2.0019,               0.001208,               0.001208,               0.001208
                     83,                0.97098,                 2.2542,                      0,                0.63974,                 1.2406,                0.97793,                      1,                  0.995,                0.54425,                0.97793,                      1,                  0.995,                0.23389,                 1.6357,                 2.9499,                      0,                0.87244,                 2.0728,              0.0011981,              0.0011981,              0.0011981
